EmployeeID;Gender;Age;Education;EducationType;MaritalStatus;TotalCompanies;TotalExperience;DistanceToOffice;Department;Traveltype_last_year;BillingRate;MonthlyIncome;Years_at_Company;Years_InCurrentRole;LastSalaryHike;PotentialReview;PerformanceReview;SatisfactionScore;JobRole_SatisfactionScore;Overall_SatisfactionScore
AB0001;Male;24.0;Graduation;Economics;Married;8.0;7.0;9.0;ClientSolutions;Conference;73.0;2718.0;1.0;0.0;19.0;Very High;Met Expectations;Passive;Passive;Detractor
AB0002;Female;36.0;Masters / PHD;Economics;Single;8.0;22.0;2.0;ClientSolutions;LongTermProject;36.0;6577.0;20.0;9.0;15.0;Very High;Met Expectations;Detractor;Detractor;Promoter
AB0003;Male;33.0;Masters / PHD;Marketing / Finance;Divorced;5.0;8.0;24.0;ClientSolutions;Conference;28.0;2995.0;7.0;5.0;18.0;Low;Met Expectations;Passive;Passive;Passive
AB0004;Male;21.0;Graduation;Marketing / Finance;Divorced;1.0;1.0;20.0;ClientSolutions;Conference;161.0;7162.36922;1.0;1.0;20.0;High;Exceed Expectations;Detractor;Passive;Passive
AB0005;Male;39.0;Graduation;Economics;Single;3.0;25.0;6.0;ClientSolutions;Conference;34.0;4674.0;3.0;3.0;16.0;Medium;Met Expectations;Detractor;Passive;Promoter
AB0006;Female;33.0;Graduation;Economics;Married;1.0;23.0;11.0;ClientSolutions;Conference;107.0;11450.0;;20.0;16.0;Medium;Exceed Expectations;Detractor;Passive;Promoter
AB0007;Male;23.0;Under Graduation;Marketing / Finance;Divorced;9.0;10.0;10.0;ClientSolutions;Conference;64.0;3764.0;5.0;;16.0;Low;Met Expectations;Detractor;Promoter;Detractor
AB0008;Male;27.0;Masters / PHD;Marketing / Finance;Single;1.0;5.0;5.0;BusinessDevelopment;Conference;123.0;5405.0;5.0;3.0;16.0;High;Met Expectations;Detractor;Promoter;Passive
AB0009;Female;16.0;Graduation;Marketing / Finance;Single;1.0;1.0;12.0;ClientSolutions;Conference;133.0;2881.0;1.0;0.0;17.0;Medium;Met Expectations;Promoter;Detractor;Detractor
AB0010;NA;48.0;Masters / PHD;Economics;Divorced;9.0;36.0;1.0;ClientSolutions;LongTermProject;145.0;11523.0;7.0;5.0;18.0;High;Met Expectations;Promoter;Passive;Detractor
AB0011;Female;28.0;Graduation;Economics;Divorced;5.0;14.0;3.0;ClientSolutions;Conference;84.0;5979.0;14.0;10.0;15.0;High;Met Expectations;Promoter;Passive;Passive
AB0012;Female;42.0;Graduation;Marketing / Finance;Divorced;1.0;7.0;15.0;ClientSolutions;Conference;129.0;4904.0;5.0;3.0;14.0;Very High;Met Expectations;Promoter;Passive;Passive
